iter	Passed	Remaining
0	0	78
1	1	76
2	2	70
3	2	67
4	3	66
5	4	65
6	4	64
7	5	64
8	6	63
9	6	62
10	7	60
11	8	59
12	8	58
13	9	58
14	10	57
15	10	56
16	11	54
17	11	54
18	12	53
19	13	52
20	13	51
21	14	50
22	14	49
23	15	48
24	16	48
25	16	48
26	17	48
27	18	47
28	19	47
29	20	47
30	21	47
31	22	46
32	22	46
33	23	45
34	24	45
35	25	44
36	25	43
37	26	43
38	27	42
39	27	41
40	28	40
41	28	39
42	29	39
43	30	38
44	30	37
45	32	37
46	33	37
47	34	36
48	34	36
49	35	35
50	35	34
51	36	33
52	37	33
53	38	32
54	38	31
55	39	30
56	39	30
57	40	29
58	40	28
59	41	27
60	42	26
61	42	26
62	43	25
63	43	24
64	44	23
65	45	23
66	45	22
67	46	21
68	47	21
69	48	20
70	48	19
71	49	19
72	49	18
73	50	17
74	51	17
75	51	16
76	52	15
77	52	14
78	53	14
79	54	13
80	54	12
81	55	12
82	55	11
83	56	10
84	57	10
85	57	9
86	58	8
87	58	8
88	59	7
89	60	6
90	60	5
91	61	5
92	62	4
93	62	4
94	63	3
95	64	2
96	64	2
97	65	1
98	65	0
99	66	0
